availability,category,coursePictureUrl,credits,endDate,enrolled,enrollmentEndDate,estimatedWorkload,examDate,explorerInstructorName,explorerSummary,featured,id,instructorInstitute,name,ncCode,nodeCode,openForRegistration,showInExplorer,startDate,title,url,weeks
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_hs31.jpg,2,2020-03-20T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-03-29T00:00:00.000000Z,Prof. Pramod K. Nayar,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2hzMzE=,University of Hyderabad,Humanities_and_Social_Sciences,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,English Literature of the Romantic Period 1798-1832,/nd1_noc20_hs31/preview,8
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_hs10.jpg,2,2020-04-17T00:00:00.000000Z,False,2020-02-23T18:30:00.000000Z,,2020-04-25T00:00:00.000000Z,Prof. T. Ravichandran,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2hzMTA=,IIT Kanpur,Humanities_and_Social_Sciences,NPTEL,nd1,True,True,2020-02-24T00:00:00.000000Z,Enhancing Soft Skills and Personality,/nd1_noc20_hs10/preview,8
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_mg22.jpg,3,2020-04-16T18:30:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-25T18:30:00.000000Z,Prof. C Bhaktavatsala Rao,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX21nMzU=,IIT Madras,Management,NPTEL,nd1,True,True,2020-01-26T18:30:00.000000Z,Entrepreneurship,/nd1_noc20_mg35/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ge08.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-25T00:00:00.000000Z,Prof. Manoj Kumar Mondal,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2dlMDg=,IIT Kharagpur,Multidisciplinary,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Entrepreneurship Essentials,/nd1_noc20_ge08/preview,12
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/cec20_hs13/WhatsApp Image 2019-11-29 at 2.41.30 PM.jpeg,2,2020-04-19T18:30:00.000000Z,False,2020-02-27T18:30:00.000000Z,,2020-05-09T03:30:00.000000Z,Prof. A. A. Shaikh,,True,Q291cnNlTGlzdDovbmQyX2NlYzIwX2hzMTM=,"B.K. School of Business Management, Gujarat University",Humanities_and_Social_Sciences,CEC,nd2,True,True,2020-01-26T18:30:00.000000Z,Enviromental Economics,/nd2_cec20_hs13/preview,12
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/aic19_ge05/newcourse.jpg,,,False,,,,Prabhakar Rao Jandhyala ,,True,Q291cnNlTGlzdDovbmQyX2FpYzE5X2dlMDU=,University of Hyderabad,Multidisciplinary,AICTE,nd2,True,True,,Environment Natural resources and Sustainable Development,/nd2_aic19_ge05/preview,
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ce03.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. D. N. Singh,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2NlMDM=,IIT Bombay,CIVIL_ENGINEERING,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Environmental Geomechanics,/nd1_noc20_ce03/preview,12
registration_required,,https://drive.google.com/file/d/11WaAmUCC0kfQvmGeiF6x9dT1BZuYMs0t/view?usp=sharing,4,2020-04-30T17:30:00.000000Z,False,2020-02-27T18:30:00.000000Z,,2020-05-09T20:30:00.000000Z,Dr. Bharti Kumar,,True,Q291cnNlTGlzdDovbmQyX2NlYzIwX2dlMTI=,"National Law University, Delhi",Law,CEC,nd2,True,True,2020-01-12T19:30:00.000000Z,Environmental Law,/nd2_cec20_ge12/preview,15
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ch01.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-25T00:00:00.000000Z,Prof. Ravi Krishna R,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2NoMDE=,IIT Madras,CHEMICAL_COURSES,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Environmental Quality Monitoring and Analysis,/nd1_noc20_ch01/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ce31.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Bhanu Prakash Vellanki,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2NlMzE=,IIT Roorkee,CIVIL_ENGINEERING,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Environmental Remediation of Contaminated Sites,/nd1_noc20_ce31/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ch17.jpg,1,2020-02-21T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-03-29T00:00:00.000000Z,Prof. Shabina Khanam,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2NoMTc=,IIT Roorkee,CHEMICAL_COURSES,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Equipment Design: Mechanical Aspects,/nd1_noc20_ch17/preview,4
